gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1990,May,14,In Washington State,69,73,66,A fair amount,A fair amount,Just a little,A fair amount,A fair amount,Not at all,Right,Apple,Democrat,2.56,In the middle,10,2,7,0,1414,An evening person,drive,1.4,3.64,95,Yes,Soccer,Green,68,2,3,Yes,1/2,Flight,strongly disagree,27,walk,27.75
Female,1996,November,25,In Washington State,65,68,67,A fair amount,Just a little,Not at all,A fair amount,A fair amount,A fair amount,Right,Apple,Other,4,In the middle,2,0,8,0,704,A morning person,walk,0.5,3.58,80,Yes,American Football,Purple,80,2,1,Yes,1/2,Flight,neutral,16,walk,21.25
Female,1997,October,25,In the US but outside of Washington State,63,69,66,Just a little,Just a little,Not at all,Just a little,A fair amount,Not at all,Right,Apple,Democrat,3.85,Toward the back,10,0,8,0,600,An evening person,walk,1,3.45,85,No,Soccer,Blue,60,2,1,Yes,1/2,Flight,disagree,21,frat,20.3333
Male,1990,December,22,In Washington State,67,68,55,A fair amount,A fair amount,Very much,A fair amount,Very much,Just a little,Left,Apple,I never (or can't) vote,3.2,Toward the back,0,1,6,1,0,Neither,drive,10,2.2,80,No,American Football,Blue,67,6,3,No,1/2,Flight,neutral,16,drive,27.1667
Male,1987,January,15,In the US but outside of Washington State,71,71,65,Just a little,A fair amount,A fair amount,Just a little,A fair amount,Very much,Right,Apple,I never (or can't) vote,2.9,Near the front,5,1,6,0,550,An evening person,bus,8.5,3.04,90,Yes,American Football,Red,85,3,1,No,1/2,Flight,disagree,21,drive,31.0833
Female,1997,June,10,In Washington State,69,67,67,A fair amount,A fair amount,Not at all,Very much,Very much,Very much,Right,PC,Democrat,3.8,Toward the back,7,0,6,0,1000,A morning person,walk,10,2.8,80,Yes,None of the above,Green,70,1,2,No,1/8,Invisibility,strongly agree,25,walk,20.6667
Female,1997,July,1,In Washington State,68,75,65,Just a little,Just a little,Not at all,A fair amount,A fair amount,Not at all,Right,Apple,Democrat,3.93,In the middle,6,1,8,0,900,A morning person,walk,0.9,3.56,90,Yes,American Football,Yellow,77,1,1,Yes,1/2,Flight,neutral,21,frat,20.5833
Female,1996,June,11,Outside of the US,62,66,62,Just a little,Just a little,A fair amount,Very much,Just a little,Very much,Right,Apple,Democrat,3.8,In the middle,6,0,7,0,1155,A morning person,bus,5,3,87,Yes,Soccer,Blue,78,2,3,Yes,1/2,Flight,agree,20,walk,21.6667
Female,1997,February,13,In Washington State,64,71,67,Not at all,Just a little,Very much,,Just a little,A fair amount,Right,PC,Democrat,3.9,Near the front,2,2,7,0.5,80,A morning person,bus,16,3.4,80,No,American Football,Blue,85,0,1,No,1/2,Flight,strongly disagree,26,drive,21
Female,1997,July,2,In Washington State,62,69,61,A fair amount,A fair amount,A fair amount,A fair amount,Very much,Just a little,Right,Apple,Democrat,4,Near the front,1,2,6,0,703,A morning person,bus,1,3,90,Yes,American Football,Green,70,4,4,Yes,1/2,Invisibility,agree,28,walk,20.5833
Female,1996,November,2,In the US but outside of Washington State,66,69,65,Not at all,Not at all,Just a little,A fair amount,Just a little,Very much,Right,Apple,Democrat,2.89,Near the front,3,1,7,0,698,An evening person,walk,0.3,2.21,75,Yes,None of the above,Blue,67,2,1,Yes,1/2,Invisibility,agree,11,walk,21.25
Female,1994,July,7,In the US but outside of Washington State,64,73,66,A fair amount,A fair amount,Not at all,Just a little,A fair amount,A fair amount,Right,Apple,Democrat,3.9,Near the front,0,12,6,0,483,A morning person,bus,15,3,100,No,None of the above,Red,65,4,3,No,1/2,Flight,disagree,3,drive,23.5833
Male,1993,March,31,Outside of the US,68,67,65,Just a little,A fair amount,Just a little,Very much,A fair amount,A fair amount,Right,PC,I never (or can't) vote,3.5,In the middle,5,2,7,1,292,An evening person,drive,2,3,85,No,None of the above,Blue,42,0,1,No,1/2,Flight,neutral,24,drive,24.9167
Female,1996,March,3,In Washington State,70,70,70,A fair amount,A fair amount,Just a little,Just a little,A fair amount,Just a little,Right,Apple,Democrat,4,In the middle,0,0,8,0,10,A morning person,walk,0.5,3.96,90,Yes,Baseball,Blue,50,0,1,Yes,1/2,Flight,strongly agree,22,dorm,21.9167
Female,1995,March,25,In Washington State,63,63,62,Just a little,A fair amount,Not at all,A fair amount,A fair amount,Not at all,Right,Apple,I never (or can't) vote,3.8,In the middle,0,3,6,0,707,A morning person,walk,2,2.9,80,No,None of the above,Green,70,2,2,Yes,1/64,Flight,strongly disagree,21,walk,22.9167
Male,1995,January,10,In the US but outside of Washington State,73,68,64,Just a little,Just a little,Very much,A fair amount,A fair amount,Just a little,Right,PC,I never (or can't) vote,3.8,Toward the back,1,2,8,3,0,An evening person,drive,6,2.71,80,No,American Football,Blue,90,1,1,No,1/2,Flight,agree,27,drive,23.0833
Female,1997,March,7,Outside of the US,61,67,60,Just a little,A fair amount,Just a little,Just a little,Just a little,Just a little,Right,PC,I never (or can't) vote,3.6,Near the front,0,0.5,6,0,300,An evening person,walk,1,3.51,95,Yes,American Football,Blue,68,0,1,Yes,1/2,Flight,neutral,7,dorm,20.9167
Female,1996,November,14,In Washington State,71,72,66,,A fair amount,Just a little,A fair amount,A fair amount,Very much,Right,Apple,Other,3.6,Toward the back,5,2,7.5,0,1000,A morning person,walk,0.4,3.4,75,Yes,Basketball,Purple,78,1,1,Yes,1/2,Invisibility,disagree,21,frat,21.25
Female,1997,October,16,In Washington State,69,74,72,A fair amount,A fair amount,Just a little,A fair amount,,Very much,Right,PC,Democrat,3.78,Near the front,0,2,7,0,542,A morning person,walk,0,3.87,92,Yes,None of the above,Green,71,0,1,Yes,1/2,Invisibility,agree,30,dorm,20.3333
Female,1996,June,24,In Washington State,63,72,63,Just a little,Just a little,Just a little,Just a little,A fair amount,Just a little,Right,PC,Democrat,3.8,In the middle,3,1,5,0,500,An evening person,bus,45,3.2,85,Yes,American Football,Red,78,1,2,Yes,1/4,Invisibility,neutral,25,drive,21.6667
Female,1997,January,31,In the US but outside of Washington State,65,64,68,Just a little,Just a little,Very much,A fair amount,Not at all,A fair amount,Right,PC,Democrat,3.7,Near the front,2,0,8,1,450,A morning person,bus,1,3.4,80,Yes,None of the above,Purple,75,2,3,Yes,1/2,Flight,disagree,25,walk,21.0833
Female,1998,April,18,In Washington State,66,70,65,A fair amount,Just a little,Not at all,Just a little,Just a little,A fair amount,Right,PC,Democrat,3.74,Near the front,0,1,8,0,221,An evening person,walk,25,3.74,88,No,American Football,Purple,65,1,2,No,1/2,Flight,strongly agree,25,dorm,19.8333
